program_duration,difficulty_level,education,total_programs_enrolled,rating,is_pass
136,intermediate,Matriculation,5,1,0
131,easy,HighSchoolDiploma,2,3,1
120,easy,Matriculation,1,2,1
117,easy,Matriculation,4,1,1
131,intermediate,HighSchoolDiploma,2,4,1
134,intermediate,HighSchoolDiploma,4,2,0
120,easy,Bachelors,3,3,1
134,easy,Matriculation,1,1,1
134,easy,Matriculation,3,3,1
136,hard,Bachelors,2,4,1
131,easy,HighSchoolDiploma,2,4,1
134,easy,HighSchoolDiploma,2,1,1
136,intermediate,HighSchoolDiploma,4,4,1
135,intermediate,Matriculation,4,5,1
134,easy,Bachelors,2,1,1
134,VeryHard,HighSchoolDiploma,2,2,0
136,hard,HighSchoolDiploma,2,5,0
131,intermediate,HighSchoolDiploma,2,2,1
117,intermediate,HighSchoolDiploma,2,1,0
136,hard,Bachelors,2,4,0
136,easy,HighSchoolDiploma,2,4,1
131,easy,Matriculation,4,1,0
121,hard,HighSchoolDiploma,6,3,1
136,intermediate,HighSchoolDiploma,2,3,1
120,easy,Matriculation,3,2,1
133,hard,HighSchoolDiploma,4,1,0
133,easy,Matriculation,2,1,1
120,easy,HighSchoolDiploma,2,2,1
134,intermediate,HighSchoolDiploma,4,2,1
134,easy,Matriculation,2,1,1
120,easy,HighSchoolDiploma,2,1,1
133,hard,Matriculation,2,3,1
136,easy,Matriculation,1,1,1
134,hard,Bachelors,2,3,1
121,hard,HighSchoolDiploma,2,5,1
136,easy,HighSchoolDiploma,4,4,0
136,easy,HighSchoolDiploma,2,2,1
131,easy,Bachelors,2,3,1
134,intermediate,HighSchoolDiploma,2,5,1
134,easy,HighSchoolDiploma,5,2,1
131,easy,Matriculation,2,2,1
121,intermediate,Matriculation,1,2,1
135,easy,HighSchoolDiploma,2,3,1
122,intermediate,HighSchoolDiploma,2,2,1
131,hard,HighSchoolDiploma,2,4,1
130,easy,Matriculation,1,1,1
133,easy,Matriculation,2,2,0
117,easy,HighSchoolDiploma,2,2,1
117,easy,Matriculation,2,1,1
133,easy,Matriculation,4,2,1
134,easy,HighSchoolDiploma,2,2,1
122,easy,Bachelors,2,2,1
136,easy,HighSchoolDiploma,1,2,1
134,easy,Matriculation,2,2,0
122,intermediate,HighSchoolDiploma,2,4,0
135,hard,Matriculation,2,5,1
134,easy,HighSchoolDiploma,3,1,0
135,intermediate,Bachelors,2,4,0
120,intermediate,Matriculation,2,1,0
136,hard,HighSchoolDiploma,2,2,0
134,easy,HighSchoolDiploma,2,1,1
134,intermediate,HighSchoolDiploma,4,1,1
135,intermediate,HighSchoolDiploma,2,5,1
117,intermediate,HighSchoolDiploma,4,1,1
134,intermediate,Bachelors,4,2,1
117,easy,Matriculation,7,1,1
122,intermediate,HighSchoolDiploma,1,2,1
136,hard,Bachelors,2,3,1
133,easy,HighSchoolDiploma,4,1,1
122,VeryHard,HighSchoolDiploma,2,4,1
120,easy,Matriculation,1,1,1
134,intermediate,HighSchoolDiploma,1,2,1
122,easy,Matriculation,2,4,1
120,intermediate,Bachelors,4,1,1
134,easy,HighSchoolDiploma,6,2,1
120,intermediate,Matriculation,4,1,1
136,hard,Bachelors,2,4,1
134,hard,HighSchoolDiploma,2,5,1
120,easy,Matriculation,2,5,1
134,easy,HighSchoolDiploma,6,1,1
134,intermediate,Bachelors,1,1,0
117,easy,Matriculation,2,1,0
131,intermediate,Matriculation,2,1,0
134,intermediate,HighSchoolDiploma,2,3,1
134,easy,HighSchoolDiploma,2,2,1
136,easy,Bachelors,2,5,1
135,easy,Matriculation,4,2,1
131,intermediate,Matriculation,2,1,0
134,intermediate,Bachelors,1,1,0
136,easy,Bachelors,2,5,1
135,easy,Bachelors,3,4,1
122,easy,Bachelors,1,2,0
131,intermediate,HighSchoolDiploma,2,2,0
134,intermediate,Matriculation,4,2,0
120,easy,Matriculation,2,2,0
134,easy,HighSchoolDiploma,2,2,1
131,easy,Matriculation,2,1,0
134,intermediate,HighSchoolDiploma,2,2,1
130,easy,HighSchoolDiploma,1,1,1
120,easy,Bachelors,4,1,1
121,easy,Matriculation,3,2,1
120,easy,HighSchoolDiploma,2,1,1
133,easy,Bachelors,2,2,1
136,easy,HighSchoolDiploma,1,1,1
122,intermediate,HighSchoolDiploma,2,1,1
117,easy,HighSchoolDiploma,2,1,1
135,easy,Bachelors,2,4,0
117,intermediate,Matriculation,4,1,0
122,easy,Bachelors,1,2,1
136,intermediate,HighSchoolDiploma,2,4,1
134,easy,HighSchoolDiploma,7,1,0
117,intermediate,Matriculation,4,2,1
131,VeryHard,HighSchoolDiploma,4,2,0
121,hard,HighSchoolDiploma,1,1,1
120,easy,Matriculation,2,3,1
121,VeryHard,Bachelors,2,3,1
133,hard,HighSchoolDiploma,2,1,1
131,intermediate,HighSchoolDiploma,4,1,1
136,easy,Matriculation,2,4,0
122,easy,Bachelors,2,1,1
136,easy,HighSchoolDiploma,3,4,1
134,intermediate,HighSchoolDiploma,2,2,1
134,hard,HighSchoolDiploma,2,4,1
134,easy,HighSchoolDiploma,2,4,1
131,intermediate,HighSchoolDiploma,4,2,0
134,easy,HighSchoolDiploma,2,2,1
122,easy,Matriculation,2,3,1
136,hard,HighSchoolDiploma,3,3,1
134,easy,HighSchoolDiploma,1,2,1
117,intermediate,HighSchoolDiploma,4,1,0
121,easy,Matriculation,3,4,1
120,easy,HighSchoolDiploma,3,2,1
122,easy,Matriculation,2,1,0
131,hard,Matriculation,2,5,0
134,easy,HighSchoolDiploma,2,1,1
130,easy,Matriculation,1,2,1
135,intermediate,Masters,2,3,1
133,easy,Matriculation,4,2,0
134,easy,Matriculation,2,1,0
121,easy,HighSchoolDiploma,2,1,1
121,easy,Matriculation,4,4,1
136,easy,Matriculation,1,2,0
133,hard,HighSchoolDiploma,2,1,0
131,easy,Matriculation,4,1,0
136,hard,HighSchoolDiploma,2,3,1
122,easy,HighSchoolDiploma,2,3,0
136,easy,Bachelors,4,4,1
134,easy,HighSchoolDiploma,2,2,1
136,easy,HighSchoolDiploma,2,4,1
130,easy,Matriculation,1,2,0
121,hard,Matriculation,2,4,1
134,easy,Matriculation,2,1,1
122,intermediate,Bachelors,1,4,1
131,easy,HighSchoolDiploma,4,3,1
120,intermediate,Matriculation,2,2,1
135,intermediate,HighSchoolDiploma,2,5,1
133,easy,Matriculation,3,1,1
121,easy,Matriculation,4,4,0
134,easy,Matriculation,2,1,1
134,intermediate,HighSchoolDiploma,3,2,1
135,easy,Matriculation,5,4,1
122,easy,Matriculation,2,3,1
122,easy,Matriculation,1,4,1
121,easy,HighSchoolDiploma,2,1,1
120,easy,Matriculation,2,1,1
130,easy,Matriculation,1,1,0
134,easy,HighSchoolDiploma,2,1,0
136,hard,HighSchoolDiploma,4,4,1
131,hard,HighSchoolDiploma,2,3,0
134,intermediate,Masters,2,2,1
122,easy,HighSchoolDiploma,2,2,1
120,intermediate,HighSchoolDiploma,3,1,1
136,intermediate,HighSchoolDiploma,2,4,1
120,intermediate,HighSchoolDiploma,4,4,1
136,easy,Matriculation,2,5,1
117,easy,HighSchoolDiploma,2,1,1
136,intermediate,HighSchoolDiploma,4,4,1
120,easy,HighSchoolDiploma,1,1,0
135,intermediate,HighSchoolDiploma,2,4,1
121,easy,Matriculation,2,5,1
134,easy,Bachelors,4,5,1
135,easy,NoQualification,5,2,1
120,easy,HighSchoolDiploma,2,2,1
134,intermediate,HighSchoolDiploma,2,3,1
